id,transaction_id,price,date_processed,quarter,month,year,year_month,post_code,property_type,whether_new,tenure,address1,address2,address3,address4,town,local_authority,county,record_status,post_code_clean,inner_outer,borough_code,borough_name,ward_code,ward_name,msoa11,lsoa11,oa11
861696,{5C1CC576-24F6-453B-9984-3898CC3AA528},155000,11/01/1995 00:00,1,1,1995,1995/1,N20 9AQ,F,Y,L,"GREENLEAF COURT, 17",FLAT 1,OAKLEIGH PARK NORTH,LONDON,LONDON,BARNET,GREATER LONDON,A,N20 9AQ,Outer,E09000003,Barnet,E05000058,Oakleigh,E02000031,E01000273,E00001314
861707,{95DF4882-F26C-4F92-A7B5-38994DC4C35D},67500,10/01/1995 00:00,1,1,1995,1995/1,SE1 4HG,F,Y,L,THE SCHOOL HOUSE,FLAT 1-05,PAGES WALK,LONDON,LONDON,SOUTHWARK,GREATER LONDON,A,SE1 4HG,Inner,E09000028,Southwark,E05000542,Grange,E02000812,E01003979,E00020027
494197,{5ADCD962-EEC9-450C-8154-0066169E4C0E},99950,27/01/1995 00:00,1,1,1995,1995/1,SE1 0RD,F,Y,L,"WATERLOO MANSIONS, 59",FLAT 12A,WEBBER STREET,LONDON,LONDON,SOUTHWARK,GREATER LONDON,A,SE1 0RD,Inner,E09000028,Southwark,E05000536,Cathedrals,E02006802,E01032583,E00019790
494286,{69E3F38B-FD6F-4236-A0C1-006AAF511981},102000,19/01/1995 00:00,1,1,1995,1995/1,N3  1AE,F,N,L,9, ,CEDAR COURT,LONDON,LONDON,BARNET,GREATER LONDON,A,N3  1AE,Outer,E09000003,Barnet,E05000061,West Finchley,E02000046,E01000296,E00001486
494374,{377555C9-E052-4127-AE41-00704A4B7B9D},100000,20/01/1995 00:00,1,1,1995,1995/1,W11 1PN,F,N,L,127,FLAT 3,LADBROKE GROVE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,W11 1PN,Inner,E09000020,Kensington and Chelsea,E05000393,Notting Barns,E02000581,E01002879,E00014440
495036,{671C2795-D14F-4EF7-B667-00966457887E},57500,27/01/1995 00:00,1,1,1995,1995/1,SW4 0NU,F,N,L,66, ,VICTORIA RISE,LONDON,LONDON,LAMBETH,GREATER LONDON,A,SW4 0NU,Inner,E09000022,Lambeth,E05000419,Clapham Town,E02000630,E01003042,E00015326
495156,{379379A1-9742-482D-B6F8-009D7438B10F},74000,30/01/1995 00:00,1,1,1995,1995/1,N13 4BG,F,N,L,"CORRIB COURT, 49",FLAT 4,CROTHALL CLOSE,LONDON,LONDON,ENFIELD,GREATER LONDON,A,N13 4BG,Outer,E09000010,Enfield,E05000213,Winchmore Hill,E02000305,E01001566,E00007784
495228,{E5529358-9DCB-4753-92C0-00A12AE6DD52},132000,12/01/1995 00:00,1,1,1995,1995/1,N12 8LR,F,Y,L,CAVENDISH HOUSE,FLAT 17,WOODSIDE GRANGE ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,N12 8LR,Outer,E09000003,Barnet,E05000059,Totteridge,E02000035,E01000284,E00001350
495430,{2DED0643-1524-4D70-A4AA-00AD2B0346E9},119000,25/01/1995 00:00,1,1,1995,1995/1,SW5 9NN,F,N,L,1,FLAT 1,NEVERN SQUARE,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,SW5 9NN,Inner,E09000020,Kensington and Chelsea,E05000388,Earl's Court,E02000591,E01002847,E00014293
496596,{B4AA1652-1C90-430B-BDE5-00B946A81F4B},121500,12/01/1995 00:00,1,1,1995,1995/1,RM5 3JB,D,N,F,234, ,COLLIER ROW LANE,ROMFORD,ROMFORD,HAVERING,GREATER LONDON,A,RM5 3JB,Outer,E09000016,Havering,E05000316,Mawneys,E02000472,E01002327,E00011612
